fid,Id,feuille,surfac_m2,nature,surf2,perimeter,_cc_radius,_cc_area,_cc_circle_compacity,_comp_miller,_comp_gravelius,_convexity_default,elongation_rectangularity_width,elongation_rectangularity_height,elongation_rectangularity_elongation,elongation_rectangularity_rectangularity
"1","0",MM_unique,"2523",parcelles,2523.37,245.985771292329,50.282989,7943.136779,0.318,0.524,1.38,10.254,5046.742645,291.081637,17.338,28.490
"2","0",MM_unique,"1114",parcelles,1114.42,178.507758506823,30.163215,2858.282360,0.390,0.439,1.51,7.059,2215.183594,188.377319,11.759,22.860
"3","0",MM_unique,"3914",parcelles,3913.95,301.515458815043,56.487528,10024.322202,0.390,0.541,1.36,13.902,5303.865447,314.808600,16.848,36.050
"4","0",MM_unique,"546",parcelles,545.636,108.805882984942,22.589174,1603.062901,0.340,0.579,1.31,5.013,581.822182,113.274622,5.136,12.640
"5","0",MM_unique,"1247",parcelles,1247.45,143.229918244111,27.357759,2351.315602,0.530,0.764,1.14,8.706,1493.546911,154.672322,9.656,31.207
"6","0",MM_unique,"1737",parcelles,1736.96,171.03838519437,32.042640,3225.569886,0.538,0.746,1.16,10.154,2036.858857,183.133913,11.122,32.468
"7","0",MM_unique,"1032",parcelles,1032.44,189.294503751775,41.616897,5441.132150,0.190,0.362,1.66,5.452,1112.064982,191.770469,5.799,12.528
"8","0",MM_unique,"1129",parcelles,1129.3,192.735840122373,41.954327,5529.723217,0.204,0.382,1.62,5.857,1334.106540,198.017497,6.737,13.615
"9","5",MM_unique,"18",bati,17.9355,17.0377153564589,3.029875,28.840275,0.622,0.776,1.14,1.052,17.935520,17.040143,1.053,3.798
"10","0",MM_unique,"2205",parcelles,2204.56,324.277262303779,74.428331,17403.092632,0.127,0.263,1.95,6.795,2230.965658,326.314186,6.837,14.882
"11","0",MM_unique,"2064",parcelles,2064.06,321.555568871129,74.133727,17265.594474,0.120,0.251,2.00,6.416,2098.372785,323.604593,6.484,13.982
"12","0",MM_unique,"4539",parcelles,4539.43,354.529877842322,75.636088,17972.479368,0.253,0.454,1.48,12.799,4610.351374,358.351638,12.865,30.657
"13","0",MM_unique,"2088",parcelles,2088.29,204.62461171808,35.355540,3927.035487,0.532,0.627,1.26,10.812,2862.101944,214.947350,13.315,35.510
"14","0",MM_unique,"782",parcelles,781.969,151.855758793133,33.411568,3507.063168,0.223,0.426,1.53,5.147,1079.105484,165.190572,6.532,11.787
"15","0",MM_unique,"1894",parcelles,1894.36,219.352008952065,41.348852,5371.267625,0.353,0.495,1.42,9.390,3124.650841,231.425209,13.502,26.021
"16","0",MM_unique,"979",parcelles,978.574,127.693321679089,23.838394,1785.269810,0.548,0.754,1.15,7.660,1057.809787,132.832911,7.963,24.510
"17","0",MM_unique,"554",parcelles,553.664,103.82968739757,20.137772,1274.009589,0.434,0.645,1.24,5.330,575.348471,105.875965,5.434,14.697
"18","0",MM_unique,"2944",parcelles,2943.57,343.252698193654,75.281615,17804.415649,0.165,0.314,1.78,8.879,3590.486798,346.311862,10.368,19.741
"19","0",MM_unique,"3928",parcelles,3928.5,397.232375103217,65.455842,13460.050756,0.292,0.313,1.79,11.786,9631.007170,407.263064,23.648,30.460
"20","0",MM_unique,"2003",parcelles,2002.87,216.575200406269,44.420728,6198.994143,0.323,0.536,1.37,9.244,2184.415279,224.275747,9.740,23.004
"21","0",MM_unique,"1893",parcelles,1893.36,214.466885822969,44.119966,6115.334503,0.310,0.517,1.39,8.825,2023.056062,220.109639,9.191,21.825
"22","0",MM_unique,"3999",parcelles,3998.88,265.783027505517,49.704407,7761.392908,0.515,0.711,1.19,15.208,4378.957659,274.362573,15.960,46.143
"23","0",MM_unique,"3350",parcelles,3350.37,329.796074149564,58.751970,10844.130785,0.311,0.389,1.60,11.394,7076.394199,336.624737,21.022,38.893
"24","0",MM_unique,"3492",parcelles,3492.43,264.698241911116,48.988205,7539.333118,0.463,0.626,1.26,13.605,4518.143047,282.294440,16.005,37.918
"25","5",MM_unique,"24",bati,24.3513,19.7426717357894,3.491713,38.302488,0.636,0.785,1.13,1.233,24.351303,19.745465,1.233,4.807
"26","0",MM_unique,"2935",parcelles,2935.22,229.179218913726,43.873801,6047.284384,0.485,0.702,1.19,12.802,3458.176885,245.425618,14.091,37.209
"27","0",MM_unique,"8923",parcelles,8923.14,561.724135086944,106.673693,35749.052650,0.250,0.355,1.68,17.487,14971.646165,560.944149,26.690,42.733
"28","0",MM_unique,"2363",parcelles,2362.72,207.530663003824,40.086926,5048.418748,0.468,0.689,1.20,11.391,2793.520330,219.224880,12.743,34.082
"29","0",MM_unique,"9174",parcelles,9173.96,441.594675899434,74.385991,17383.298347,0.528,0.591,1.30,22.690,12348.035554,444.838692,27.758,79.315
"30","0",MM_unique,"9358",parcelles,9357.52,452.173227490144,79.016890,19615.064441,0.477,0.575,1.32,22.124,13698.873477,470.101699,29.140,72.987
"31","0",MM_unique,"6248",parcelles,6248.02,333.72633954474,59.387330,11079.941565,0.564,0.705,1.19,19.555,7929.643002,356.606539,22.236,66.849
"32","0",MM_unique,"6396",parcelles,6396.49,419.002887871251,71.102486,15882.521028,0.403,0.458,1.48,17.438,11571.898602,430.391602,26.887,58.174
"33","0",MM_unique,"952",parcelles,952.412,188.400394061415,41.874434,5508.682805,0.173,0.337,1.72,5.053,1062.490846,191.648249,5.544,11.468
"34","0",MM_unique,"667",parcelles,666.703,180.300788567752,41.372604,5377.440274,0.124,0.258,1.97,3.696,688.710140,181.374639,3.797,8.097
"35","0",MM_unique,"705",parcelles,704.993,180.136934813718,41.065298,5297.852119,0.133,0.273,1.91,3.912,759.818816,182.056011,4.174,8.623
"36","0",MM_unique,"1063",parcelles,1062.78,240.340019867758,55.847275,9798.370414,0.108,0.231,2.08,4.420,1100.973883,242.396290,4.542,9.546
"37","0",MM_unique,"1785",parcelles,1785.32,253.114317489558,56.102476,9888.124569,0.181,0.350,1.69,7.050,1807.815679,254.602298,7.101,16.077
"38","0",MM_unique,"1806",parcelles,1805.91,252.284495563944,55.749430,9764.066618,0.185,0.356,1.67,7.155,1853.378885,254.076788,7.295,16.379
"39","0",MM_unique,"1581",parcelles,1580.84,247.278043398798,55.200254,9572.646517,0.165,0.325,1.75,6.390,1652.082889,248.937244,6.637,14.451
"40","0",MM_unique,"297",parcelles,296.651,71.5618684584856,13.233023,550.133382,0.539,0.728,1.17,4.152,319.160443,73.178479,4.361,13.337
"41","0",MM_unique,"1079",parcelles,1078.79,148.522542971334,29.467268,2727.907430,0.395,0.614,1.28,7.260,1172.481279,152.554806,7.686,19.632
"42","0",MM_unique,"1063",parcelles,1062.85,166.270684697678,35.745359,4014.109258,0.265,0.483,1.44,6.391,1221.156207,173.892004,7.022,15.325
